#wls	flux	fluxerr
1.600000E+03	3.270503E-15	4.568188E-16
1.640000E+03	4.414025E-15	5.264532E-16
1.680000E+03	6.035270E-15	6.049358E-16
1.720000E+03	8.339182E-15	6.913031E-16
1.760000E+03	1.159635E-14	7.842974E-16
1.779000E+03	2.370279E-14	5.562316E-15
1.780400E+03	2.374766E-14	5.561699E-15
1.781800E+03	2.379635E-14	5.561654E-15
1.783200E+03	2.375426E-14	5.547122E-15
1.784600E+03	2.378885E-14	5.544791E-15
1.786000E+03	2.353187E-14	5.496371E-15
1.787400E+03	2.315971E-14	5.430300E-15
1.788800E+03	2.292813E-14	5.386700E-15
1.790200E+03	2.278987E-14	5.369173E-15
1.791600E+03	2.275646E-14	5.356740E-15
1.793000E+03	2.274861E-14	5.435338E-15
1.794400E+03	2.284694E-14	5.855809E-15
1.795800E+03	2.274820E-14	6.029814E-15
1.797200E+03	2.265965E-14	5.898912E-15
1.798600E+03	2.269009E-14	5.903209E-15
1.800000E+03	2.270388E-14	5.816879E-15
1.801400E+03	2.266644E-14	5.751678E-15
1.802800E+03	2.282743E-14	5.951886E-15
1.804200E+03	2.296665E-14	6.050471E-15
1.805600E+03	2.317119E-14	6.068867E-15
1.807000E+03	2.331683E-14	6.030721E-15
1.808400E+03	2.343302E-14	5.987165E-15
1.809800E+03	2.355945E-14	5.952372E-15
1.811200E+03	2.376531E-14	5.972692E-15
1.812600E+03	2.402243E-14	5.999805E-15
1.814000E+03	2.430007E-14	6.173633E-15
1.815400E+03	2.449701E-14	5.908082E-15
1.816800E+03	2.466063E-14	6.014338E-15
1.818200E+03	2.504342E-14	5.989489E-15
1.819600E+03	2.552751E-14	6.303479E-15
1.821000E+03	2.587065E-14	6.424873E-15
1.822400E+03	2.602153E-14	6.421364E-15
1.823800E+03	2.630702E-14	6.191421E-15
1.825200E+03	2.672075E-14	6.179784E-15
1.826600E+03	2.696910E-14	6.353633E-15
1.828000E+03	2.725850E-14	6.393198E-15
1.829400E+03	2.728372E-14	6.156409E-15
1.830800E+03	2.741538E-14	6.118354E-15
1.832200E+03	2.764451E-14	6.133550E-15
1.833600E+03	2.799807E-14	6.245372E-15
1.835000E+03	2.818744E-14	6.175852E-15
1.836400E+03	2.836527E-14	6.138657E-15
1.837800E+03	2.861366E-14	5.820166E-15
1.839200E+03	2.872348E-14	5.849542E-15
1.840600E+03	2.867158E-14	5.638209E-15
1.842000E+03	2.855164E-14	5.530385E-15
1.843400E+03	2.859977E-14	5.478836E-15
1.844800E+03	2.833599E-14	5.425043E-15
1.846200E+03	2.812861E-14	5.383985E-15
1.847600E+03	2.831527E-14	5.290653E-15
1.849000E+03	2.848009E-14	5.499903E-15
1.850400E+03	2.885802E-14	5.522498E-15
1.851800E+03	2.888418E-14	5.656721E-15
1.853200E+03	2.902842E-14	5.681186E-15
1.854600E+03	2.908919E-14	5.756869E-15
1.856000E+03	2.910628E-14	5.789210E-15
1.857400E+03	2.933008E-14	5.842114E-15
1.858800E+03	2.956416E-14	5.793781E-15
1.860200E+03	2.992409E-14	5.862998E-15
1.861600E+03	3.044971E-14	5.942031E-15
1.863000E+03	3.107683E-14	6.028909E-15
1.864400E+03	3.156782E-14	6.150379E-15
1.865800E+03	3.208708E-14	6.217164E-15
1.867200E+03	3.248430E-14	6.246768E-15
1.868600E+03	3.290979E-14	6.278707E-15
1.870000E+03	3.299353E-14	6.120392E-15
1.871400E+03	3.315047E-14	6.153189E-15
1.872800E+03	3.374554E-14	6.187725E-15
1.874200E+03	3.440358E-14	6.261168E-15
1.875600E+03	3.508862E-14	6.333382E-15
1.877000E+03	3.560404E-14	6.300450E-15
1.878400E+03	3.609505E-14	6.494503E-15
1.879800E+03	3.643954E-14	6.527246E-15
1.881200E+03	3.699864E-14	6.630048E-15
1.882600E+03	3.756288E-14	6.814149E-15
1.884000E+03	3.801143E-14	6.909939E-15
1.885400E+03	3.840469E-14	6.883753E-15
1.886800E+03	3.889948E-14	6.951869E-15
1.888200E+03	3.924386E-14	6.985951E-15
1.889600E+03	3.962163E-14	7.079226E-15
1.891000E+03	3.983483E-14	7.090349E-15
1.892400E+03	3.992329E-14	7.083844E-15
1.893800E+03	4.007984E-14	7.011923E-15
1.895200E+03	4.025820E-14	7.107838E-15
1.896600E+03	4.034653E-14	6.934999E-15
